Concepticon_Gloss,Weight,Rank
FATHER,0.7464292883438033,1.0
MOTHER,0.7495201256649024,2.0
I,0.7613819716720476,3.0
AND,0.7631242532307023,4.0
FIVE,0.7756369146712834,5.0
THOU,0.7778190262163949,6.0
HORSE,0.781433018202768,7.0
THREE,0.7840741324621485,8.0
DRINK,0.784384001877734,9.0
NOT,0.7849839301262851,10.0
THIS,0.7855288217758403,11.0
DIE,0.7856349344376137,12.0
EYE,0.7862034024461686,13.0
WING,0.7862527329409896,14.0
MEAT,0.7863300338308288,15.0
ARM,0.7865500484910527,16.0
BRANCH,0.7870119962160067,17.0
TONGUE,0.7892041451992065,18.0
HERE,0.7894968321980784,19.0
PATH OR ROAD,0.7906353783047654,20.0
TEN,0.7909348133292785,21.0
TWO,0.7915695715377559,22.0
YEAR,0.7921761186218534,23.0
SEVEN,0.7923217520345041,24.0
COME,0.7924342355164204,25.0
IRON,0.7933217595925488,26.0
FOUR,0.7940092021040612,27.0
WE,0.7942418510788984,28.0
DIG,0.7950483623908821,29.0
SEA,0.7952497403979943,30.0
YOU,0.7955260189683626,31.0
LOUSE,0.7955918590957339,32.0
LEAF,0.7957291111313689,33.0
EAT,0.7957479949915738,34.0
NAME,0.7957839846635751,35.0
HUNDRED,0.7960949471907103,36.0
HAND,0.7961047965871082,37.0
DOG,0.7962061149957884,38.0
SALT,0.7962843978481137,39.0
WHERE,0.7970274942703549,40.0
THEY,0.7971575952000699,41.0
TREE,0.7972938030228202,42.0
CRY,0.797474460333266,43.0
WATER,0.7975838862697485,44.0
LEG,0.7975984648697612,45.0
SIX,0.7976336751050611,46.0
SON,0.7977913348841964,47.0
HOUSE,0.797955950097667,48.0
FIRE,0.7985131736200306,49.0
GO,0.7987762766349327,50.0
SUN,0.7990372908846262,51.0
EAR,0.79922561382883,52.0
TOOTH,0.7992945627924064,53.0
BUY,0.7995177740270792,54.0
THERE,0.7999046481102707,55.0
WHO,0.7999539068454067,56.0
SKIN,0.8000383211456685,57.0
RAIN (PRECIPITATION),0.8001794698892348,58.0
THAT,0.8003553920334914,59.0
WASH,0.8008853386409801,60.0
FLOW,0.8009868440127619,61.0
LAUGH,0.8012592591125407,62.0
HORN (ANATOMY),0.8013565544973972,63.0
BE ALIVE,0.8016498308172445,64.0
SEW,0.8016685618276328,65.0
KNOW (SOMETHING),0.8016782389632231,66.0
NEW,0.8017212655362093,67.0
BONE,0.8017617465781237,68.0
WHAT,0.8020154289868268,69.0
FLY (MOVE THROUGH AIR),0.8020641047861576,70.0
LAKE,0.8022053014156976,71.0
STONE,0.8023292610740664,72.0
DAY (NOT NIGHT),0.8023819366541904,73.0
SKY,0.8024064152072742,74.0
NOSE,0.8024603465856139,75.0
ONE,0.8024860558405467,76.0
HEAR,0.8030550643363723,77.0
FULL,0.8034315484501741,78.0
FISH,0.8035709383195317,79.0
MOUTH,0.8036611100862474,80.0
GIVE,0.8037724979320525,81.0
TAKE,0.8039199028655423,82.0
OPEN,0.8039621613958094,83.0
MOUNTAIN,0.8040041365034759,84.0
KNEE,0.8043221039853801,85.0
HEAD,0.8044081471295819,86.0
SEE,0.8044989273550552,87.0
FOOT,0.8048976516981882,88.0
ASH,0.8049872102778781,89.0
BLOOD,0.8052823518913981,90.0
BOW,0.805319664964552,91.0
PULL,0.8053478287395038,92.0
WHITE,0.8054243038712632,93.0
FEATHER,0.8056355277447529,94.0
