Concepticon_ID,Rank,Concepticon_Gloss
1485,310,BELOW OR UNDER
1864,311,HUNGER
2949,312,LAIR
667,313,ROAD
1291,314,BACK
2953,315,SLEEVE
743,317,END (OF TIME)
175,318,BLOW (OF WIND)
1483,319,NINE
1402,320,BREAST
1244,321,THICK
1705,322,EIGHT
956,323,FLEE
3704,324,ODOR (SMELL)
2249,325,THIN (OF SHAPE OF OBJECT)
1413,326,PLAY
1915,327,FIR
571,328,STING
3651,330,MUSH (FOOD)
2965,331,PAW
1190,332,HARE
1951,333,PASS
1480,334,BODY
1740,335,PINE
1838,336,NAVEL
580,337,FUR
2030,338,DRAG
785,339,STRONG
1048,340,LINE
1608,341,LISTEN
281,342,POST
1304,343,CHILD (YOUNG HUMAN)
1468,344,LOOK FOR
2467,345,GAME
709,346,TEACH
156,347,RED
197,348,OTHER
1419,349,FEAR (BE AFRAID)
1207,350,YOUNG
504,351,LEARN
1901,352,SHOVEL
1828,353,ASK (REQUEST)
2973,354,STRAP
2658,355,COAL
1373,356,TEA
1019,357,RIGHT
1367,359,CROSS
879,360,COUGH
1208,361,CAT
1653,362,BLIND
863,363,EDGE
1554,364,MAN
3072,366,MISPLACE
251,367,SHARPEN (SOMETHING)
713,368,STEAL
854,370,KETTLE
1752,371,LEAVE
363,372,"DWELL (LIVE, RESIDE)"
760,373,KNOT
3308,374,STRIKE (SOMEONE)
1913,376,PRESS
1906,377,SOUR
1039,378,SHOW
1411,379,LIE (REST)
478,380,LIP
772,382,BELT
2112,384,OLD (AGED)
1220,385,TAIL
991,386,FRY
141,387,BURN (SOMETHING)
1750,388,CHOOSE
1312,389,FOX
1176,390,SPADE
2373,391,SKIN (OF FRUIT)
2837,392,SWAN
1071,393,HOOK
2932,394,COLD (CHILL)
1239,395,HOW
715,396,SHOUT
2819,397,GRASSLAND
1424,398,YELLOW
1547,399,SOUP
1425,400,GREEN
1726,401,WET
1645,402,SHORT
134,403,FAULT
837,404,BLUE
923,405,LOVE
622,406,ISLAND
2974,407,SWARM (OF BIRDS)
1559,408,MONEY
708,409,SHINE
371,410,PICK UP
243,411,FRESH
3222,412,TWIG
980,413,HEEL
2,414,DUST
2984,415,HEAP
602,416,HIDE (CONCEAL)
2319,417,"LID (COVER, CAP)"
962,418,WOMAN
1232,419,WARM
3006,420,SPACE (AVAILABLE)
249,421,FOG
2921,422,THEN
2485,423,HIDE (ONESELF)
179,424,RIPEN
1710,425,TWENTY
1200,426,HUSBAND
2466,428,WEIGHT
2214,429,AFFAIR
2252,430,PATH
2919,431,STILL (CONTINUING)
1629,432,EVENING
357,433,HANG UP
1482,435,SHOULDER
2065,436,STEP (VERB)
2971,437,SIN
1840,438,BUILD
1346,439,THROAT
1376,440,NOW
1928,441,CEASE
913,442,CROW
1292,443,BAD
2968,444,REASON
2148,445,PICK
38,446,SPREAD OUT
679,447,BRIGHT
1210,449,HEAVY
1378,450,SPOON
2149,451,CHOP (INTO PIECES)
1612,452,LETTER
963,453,BOOK
3235,454,OPEN (STATE)
123,455,FOREHEAD
1396,456,SHARP
2224,457,BEND (SOMETHING)
1475,458,COMB
1773,459,GRAVE
2858,460,STREAM (FLOW CONTINUOUSLY)
45,461,EVIL
1782,462,GUEST
180,463,CALL BY NAME
789,464,PEOPLE
2559,465,FEEL (TACTUALLY)
1537,466,SPRINGTIME
2897,467,CHIME (ACTION)
730,468,SNAKE
1508,469,KING
1276,470,AUTUMN
1174,471,YESTERDAY
1430,472,STAR
1234,473,SMOOTH
1267,474,NARROW
1632,475,FLOOR
759,477,SILVER
2604,478,NOOSE
1431,479,FREEZE
1374,480,RING
1905,481,EAGLE
2891,482,TIE UP (TETHER)
1755,483,UNDRESS
1856,484,SOFT
594,485,PIECE
2034,486,FROST
2870,487,RECOGNIZE (SOMEBODY)
647,488,PAINT (PIGMENTS)
1199,489,WIFE
98,490,ALL
1879,491,DANCE
570,492,STAND UP
244,493,LEFT
706,494,DARK
1327,495,UNCLE
248,496,HAPPEN
1113,497,WRAP
2991,498,SKI
1360,499,DUCK
3455,500,COMMEND
1562,501,MIND
1283,502,TODAY
712,503,RICH
1086,504,WORK (ACTIVITY)
160,506,SET (HEAVENLY BODIES)
2935,507,CURRENT (STREAM)
2157,508,FINE OR THIN
2865,509,DIE (FROM ACCIDENT)
954,510,WELL
1560,511,FACE
1624,512,EMPTY
1388,513,SHADE
1892,514,TOUCH
721,515,LOW
1069,516,GLUE
704,517,CLEAN
745,518,SHELF
3174,519,WAKE UP (SOMEONE)
2826,520,LIE (FALSEHOOD)
2901,521,SWING (SOMETHING)
1325,522,FRIEND
1127,523,SEND
769,524,ROOF
1246,525,SMALL
604,526,GLASS
930,527,VILLAGE
1075,528,TRAP (PITFALL)
1614,529,SUMMIT
897,530,SWALLOW
2979,531,WALK (MANNER)
1253,532,RAIN (RAINING)
1309,533,ASK (INQUIRE)
502,534,NAIL (TOOL)
1806,535,BEGIN
25,538,DIRT
1720,539,SIGN
1467,540,CIRCLE
2943,541,BUNDLE
97,542,THROUGH
1679,543,LOAD
2957,544,WARE
819,545,STOMACH
1829,546,JUMP
2470,547,DEAR
1088,549,SINK (DESCEND)
1819,550,LOOK
2954,551,SLICE
1651,552,TEAR (OF EYE)
230,553,SWEEP
2980,554,AREA
2896,555,CAUSE TO (LET)
1536,556,UNDERSTAND
2940,558,GATE
1406,559,FAR
866,560,WIN
1611,561,INVITE
1909,562,SHAKE
2874,563,MOVE (ONESELF)
1272,564,AUNT
202,565,STRENGTH
1730,566,CHEEK
1454,568,WIPE
2862,569,CONNECT
2942,570,HOARFROST
471,571,UPPER LEG (THIGH)
1330,572,DEFEND
1452,573,PUSH
1775,574,TABLE
1849,575,ROW
153,576,GREY
1883,577,IN FRONT OF
996,578,DEAF
1279,579,FAT (OBESE)
2008,580,RESCUE
696,581,STIR
2960,582,LONGING (WISH)
1633,583,FLAT
1018,584,MEMORY
1476,585,CHAIR
52,586,SHIVER
1723,588,RESULT IN
2923,589,THITHER (THERE TO)
859,590,STOVE
2939,591,FLOCK (OF ANIMALS)
1766,592,FINISH
1456,593,THROW
7,594,GATHER
1510,595,CHIN
1616,596,CLOTH
501,597,LIFT
1219,598,WORM
749,599,ENTER
1145,600,SWAMP
737,601,LIGHT (IGNITE)
344,602,TREE TRUNK
717,603,SWEET
419,604,SEVERE
526,605,HOWL
2956,606,TUBE
614,607,HILL
2944,608,CALL (APPEAL)
3003,609,SOLID
2975,610,THOUGHT
2378,611,THUNDER (VERB)
1615,612,ESCAPE
612,613,HEAT
1311,614,VERY
2900,616,PROTECT
1586,617,SMELL (PERCEIVE)
2958,618,LAUGHTER
109,619,FOREIGN
1830,620,CRANE
2904,621,RINSE
1526,624,MEAL
728,625,FIRST
1583,626,BRAIN
2537,627,LENGTH
1391,629,TOWN
2894,630,TUMBLE (FALL DOWN)
1580,631,ONLY
157,632,DYE
2945,633,COUNT (QUANTITY)
2993,634,STROKE (OF PEN)
1264,635,CHANGE
855,636,SEIZE
2902,638,BRAWL (FIGHT)
1254,639,HANDLE
158,640,PUT ON
138,641,BATHE
2879,642,SOUND (OF INSTRUMENT OR VOICE)
2964,643,NEWS
757,644,BUTTON
1339,645,MORNING
1320,646,APPLE
1725,647,CORRECT (RIGHT)
1347,648,NAPE (OF NECK)
1329,649,TOMORROW
965,650,WORLD
1533,652,BE HUNGRY
1076,653,EMERGE (APPEAR)
1288,654,CAP
2952,655,SLAB
2934,656,CUCKOO
1318,657,CHICKEN
27,658,AIR
663,659,BAY
735,660,OWL
2951,661,POUCH
2998,662,DAMP
1591,663,UP
1445,664,TURN (SOMETHING)
1638,665,TRUTH
2882,666,ADD
1426,667,EXPENSIVE
2948,668,GAP (DISTANCE)
1137,670,TENDON
716,671,GROAN
1767,672,SCRAPE
1843,673,THOUSAND
1595,675,SOUTH
1415,676,THINK (REFLECT)
2928,678,WHITHER (WHERE TO)
684,679,OWN
3748,680,DROP (OF A LIQUID)
2546,681,BORDER
2558,682,BREAK (CLEAVE)
178,683,RIPE
379,684,BLUNT
1772,685,ELK
2941,686,HAPPINESS
1462,687,POT
2884,688,HANG
1690,689,FENCE
1940,690,GUARD
1596,691,LOCK
1650,692,WATCH
2946,693,CRADLE
1622,694,SHIRT
2915,695,AT FIRST
256,696,FOOD
681,697,DESTROY
2981,698,ITEM
1601,699,WEAK
1628,700,SQUIRREL
239,701,FLOWER
2524,702,JOY
1435,703,HUNT
2988,704,PATTERN
1598,705,NORTH
1942,706,NEAR
578,707,KISS
589,708,CLOSED
3215,709,CREEP
245,710,BROOM
2859,711,SMOKE (EMIT SMOKE)
460,712,BREAK (OF ROPE)
16,713,SLED
2483,714,COLD (OF WEATHER)
2867,715,CALCULATE
1477,716,KEEP
739,717,FEED
1150,719,THUNDER
3076,721,SLOPE
870,722,BREATH
204,723,AGAIN
683,724,PERSON
3467,726,HELP (ASSISTANCE)
2886,727,PRODUCE
1265,728,HIGH
1718,730,SIXTY
1102,731,CLIMB
2012,734,COLLAR
1686,735,BEHIND
798,736,JAW
1997,737,PRESERVE
1564,739,LAZY
1663,740,BED
1326,741,DOWN
2985,742,HEIGHT
1384,743,SECOND
1895,744,CLOTHES
2898,745,CONVEY (A MESSAGE)
1711,746,TELL
1715,747,THIRTY
2001,748,PAINTING
1996,749,GET TIRED
2708,750,TALK
849,751,SPRING (OF WATER)
1511,752,ROOSTER
590,753,NAKED
3371,754,WASH (ONESELF)
1831,755,MEET
2880,756,HALT (STOP)
2243,757,REPAIR
1646,758,GIRL
822,759,HOW MANY
1155,760,CAVE
3303,761,PICTURE (PAINTING)
2899,762,JOG (SOMETHING)
2857,763,CHANGE (BECOME DIFFERENT)
1183,765,PALM OF HAND
1375,766,WINDOW
518,767,SPARK
2134,768,RAISE (BRING UP)
1509,769,MOSQUITO
1882,770,BEFORE
1657,771,TRUE
2962,772,MOORLAND
2235,773,CLEAN (SOMETHING)
1859,774,THIRD
1383,775,GRANDFATHER
485,776,DISAPPEAR
1270,777,WHY
1602,778,WAKE UP
2871,779,SWING (MOVEMENT)
3005,780,FAMILIAR
2930,781,BOSS
1986,782,DISEASE
1044,783,PILLOW
1302,784,FORK
1525,785,COAST
1521,786,SEEM
2845,787,SIZE (OF OBJECT)
2936,788,ELEVATION
2910,789,BACK (DIRECTION)
2864,790,DECREASE
2396,791,KNOCK
1668,793,GRIEF
1523,795,FORGET
2994,797,SUPPORT (OF OBJECT)
833,798,ENDURE
2912,799,FORWARD
1427,800,BEAUTIFUL
1496,802,GRANDMOTHER
194,803,FAMILY
1566,805,GUN
689,806,BETWEEN
2052,807,BUCKET
1395,808,ROUND
1674,809,POOR
43,810,LEAD (GUIDE)
1115,811,SPEECH
92,812,SPOIL (SOMEBODY OR SOMETHING)
21,813,TASTE (SOMETHING)
1407,814,BREATHE
809,815,TROUSERS
166,816,MAINLAND
1945,817,IDOL
1868,818,VISIBLE
1887,819,CHEAP
2967,820,PIKE (FISH)
619,821,ANIMAL
2966,822,PERCH (FISH)
1813,823,TASTY
1465,824,BOX
1716,825,FORTY
1024,826,CHARACTER
814,827,DRESS UP
1518,828,STUPID
1293,829,MISTAKE
1366,830,BOY
585,831,BOOT
2366,832,ONION
1743,833,JOIN
2961,834,MESSAGE
952,835,WEATHER
1739,836,DECORATE
2978,837,DISTANCE
372,838,POINTED
2947,839,DAMAGE (INJURY)
2861,840,BUDGE (ONESELF)
1659,841,DOLL
2987,842,AMOUNT
1041,843,INCREASE
1100,844,COOK (SOMETHING)
2909,845,PREPARE
981,846,ELBOW
3458,847,SILENCE
2875,848,RING (MAKE SOUND)
1469,849,WEEK
1400,850,THIN (SLIM)
1676,851,ALWAYS
418,852,FOR A LONG TIME
1964,853,ALONE
1847,854,SICK
1182,855,NOISE
2468,857,BAG
196,858,DONATE
383,859,MASTER
2877,860,RUSTLE (OF LEAVES)
1230,861,DIRTY
1529,862,LAST (FINAL)
1852,863,OFTEN
587,864,ANT
1025,865,WHISTLE
1117,866,LIKE
2526,867,POWER
2881,868,URGE (SOMEONE)
2876,869,ROAR (OF SEA)
1381,870,SHOE
573,871,SWAY
1817,872,WEST
2860,873,BOLT (MOVE IN HASTE)
3001,874,POWERFUL
2223,876,BE ANGRY
1116,877,DAMAGE
2976,878,VIOLENCE
481,879,DISH
2969,880,RIBBON
2926,881,HARDLY
3230,882,DECEIVE
2060,883,STORY
2959,884,LEASH
3055,885,SWINDLE
1358,886,ENEMY
649,887,PASTURE
1812,889,TRY
1735,890,TEAR (SHRED)
2950,891,MEANING
2872,892,IMPROVE (SOMETHING)
2482,893,TOGETHER
476,894,CUP
1954,895,GENTLE
2848,896,MAY (MONTH)
374,897,ONE TIME
1877,898,EAST
2927,899,FROM HERE
1135,900,KICK
581,901,COME BACK
1112,902,SUCCEED
1978,903,RECOVER
2918,904,BECAUSE OF
2931,906,BUSINESS
2929,907,BENEFIT
3004,908,FORMER
1377,909,VISIT
2924,910,A LITTLE
1106,911,FALL ASLEEP
2914,912,ONCE (IN THE PAST)
1717,913,FIFTY
1675,914,PROMISE
1464,915,LADDER
2863,916,DASH (OF VEHICLE)
2997,917,COLORFUL
2410,918,GOOD-LOOKING
1774,919,STINGY
2937,920,FAIRY TALE
754,921,HURRY
641,922,MUSHROOM
554,923,HINDER
1171,924,MIRROR
2883,925,DISTURB
2892,926,MAKE ANGRY (ANNOY)
1372,927,MEDICINE
2982,928,GIFT
2893,929,NOTICE (SOMETHING)
1534,930,FEVER
1359,931,SEPARATE
12,932,MIDDAY
699,933,SAD
2866,934,DROP (SOMETHING)
2977,935,WORKER
1824,936,DEXTEROUS
1310,937,CLEVER
843,938,SPIDER
703,939,SOON
1846,940,RULE
3002,941,PRECIOUS
2911,942,BACKWARD
1364,943,HEALTHY
2917,944,NEXT TO
806,946,BLANKET
2996,947,WEALTH
1722,948,EIGHTY
3638,949,ASSEMBLE (GET TOGETHER)
2922,951,AT THAT TIME
119,952,DIVE
2638,953,FISHING
2093,954,AFTERWARDS
1765,955,IN VAIN
597,956,PHYSICIAN
2986,957,CAMPFIRE
56,959,BAD LUCK
2906,960,TRANSLATE
2955,961,STATE (POLITICS)
746,962,SHOP
2889,963,TWINKLE
1165,964,MOUSTACHE
1721,965,SEVENTY
1349,966,CHURCH
2077,969,DILIGENT
1692,970,FRIDAY
2983,971,COMPANIONSHIP
168,972,REST
1389,973,TOE
2846,974,MARCH
2933,975,CONVERSATION
2504,976,DIFFERENT
1707,978,TWELVE
2903,979,CHAT (WITH SOMEBODY)
1706,980,ELEVEN
707,981,REMEMBER
2916,982,INSTANTLY (IMMEDIATELY)
1791,983,BUTTERFLY
2873,984,MOVE (AFFECT EMOTIONALLY)
2327,985,BECOME SICK
1695,986,TUESDAY
1700,987,SATURDAY
101,988,BOAST
2869,989,BOTHER (HARASS)
1038,990,TEACHER
2850,991,JULY
2888,992,TINKLE
505,993,PARENTS
1694,994,WEDNESDAY
2849,995,JUNE
2851,996,AUGUST
1544,997,SOMETIMES
1021,998,TOWEL
2920,999,SUDDENLY
1724,1000,NINETY
1699,1001,SUNDAY
1693,1002,THURSDAY
1298,1003,NEWSPAPER
1697,1004,MONDAY
2890,1005,WALK (TAKE A WALK)
2847,1006,APRIL
1963,1007,IMMEDIATELY
1733,1008,RAINBOW
1656,1009,NEVER
2999,1010,EVERYWHERE
2036,1011,JANUARY
2037,1012,FEBRUARY
2854,1013,NOVEMBER
2853,1014,OCTOBER
2855,1015,DECEMBER
2852,1016,SEPTEMBER
