Concepticon_Gloss,Weight,Rank
I,0.7441625532448243,1.0
MOTHER,0.7445618569282073,2.0
FATHER,0.7484811698827478,3.0
AND,0.7510996247782419,4.0
THOU,0.7615997908543378,5.0
HORSE,0.7655421478199632,6.0
FIVE,0.7710851368209005,7.0
DRINK,0.7756552563500237,8.0
ARM,0.7766588644019664,9.0
NOT,0.7775398442060165,10.0
THIS,0.7776984687994544,11.0
EYE,0.7802795925033098,12.0
THREE,0.7808141896417313,13.0
DIE,0.7823129830376528,14.0
MEAT,0.7852340575675474,15.0
TEN,0.7852384020255523,16.0
TONGUE,0.7852943404948906,17.0
TWO,0.7857717934643137,18.0
BRANCH,0.7860477301231061,19.0
SEVEN,0.7860887714933669,20.0
IRON,0.7865375272864008,21.0
SIX,0.7867552580880894,22.0
SON,0.7875055944528488,23.0
WING,0.7875610184298778,24.0
COME,0.7883846582674583,25.0
NAME,0.7885630609338327,26.0
YOU,0.7890673462783697,27.0
HAND,0.7897382850166228,28.0
PATH OR ROAD,0.7899720948606077,29.0
YEAR,0.7902054707306911,30.0
WE,0.7902436406688913,31.0
LOUSE,0.7905153051432463,32.0
LEG,0.7905551437732722,33.0
HERE,0.7906620277003695,34.0
EAT,0.7910453689602975,35.0
DOG,0.7917705940008365,36.0
SEA,0.7919031300640565,37.0
FOUR,0.791904725062899,38.0
HUNDRED,0.792251323729271,39.0
DIG,0.7922585097427429,40.0
THEY,0.7923191353473531,41.0
WATER,0.7923770176651344,42.0
SALT,0.7925610466969578,43.0
TREE,0.7926246937638668,44.0
WHO,0.7929496797609898,45.0
RAIN (PRECIPITATION),0.7938915990361565,46.0
SEW,0.7943313862862271,47.0
GO,0.7944867810257323,48.0
EAR,0.7945054442228936,49.0
FIRE,0.794824258680694,50.0
WHERE,0.7950536691183037,51.0
LEAF,0.7951817725582679,52.0
CRY,0.7956917183570943,53.0
KNEE,0.7957142073389663,54.0
SKIN,0.7957649455987095,55.0
HOUSE,0.7957665508309971,56.0
THAT,0.7957912103963478,57.0
BONE,0.7958120007797082,58.0
BUY,0.7964834128904092,59.0
TOOTH,0.7972901325995272,60.0
HORN (ANATOMY),0.7973592622964367,61.0
SEE,0.797534112292436,62.0
BE ALIVE,0.7976715386469581,63.0
WHAT,0.7979429391889667,64.0
CHEST,0.7979584033549607,65.0
FISH,0.7979741728031481,66.0
WASH,0.7979916433948253,67.0
SKY,0.7980309350000611,68.0
THERE,0.798333260948579,69.0
ONE,0.7983447075569938,70.0
HEAD,0.7984181486146871,71.0
STONE,0.7984232574312724,72.0
NOSE,0.7984694647528099,73.0
SUN,0.7987179959467786,74.0
GIVE,0.7989619799423485,75.0
NEW,0.7992005573837961,76.0
MOUNTAIN,0.7992530945353483,77.0
FLY (MOVE THROUGH AIR),0.7993992340239714,78.0
DAY (NOT NIGHT),0.7994045842165296,79.0
HEAR,0.7994538193854892,80.0
MOUTH,0.799615555425091,81.0
LAUGH,0.7998583085055184,82.0
LAKE,0.7999450915135576,83.0
BOW,0.8002171132924693,84.0
HOLD,0.8003760373590493,85.0
FLOW,0.800435652825376,86.0
FULL,0.8004736005148465,87.0
OPEN,0.8004891830931218,88.0
FOOT,0.8007369876107203,89.0
ASH,0.8008557104738696,90.0
BELLY,0.8009716856016325,91.0
FEATHER,0.8014082973004439,92.0
WHITE,0.8014196063912928,93.0
FALL,0.8015761912816287,94.0
TAKE,0.8016608247319306,95.0
KNIFE,0.8019439113629422,96.0
NIGHT,0.8021029716969821,97.0
KNOW (SOMETHING),0.802128232372245,98.0
BLOOD,0.802162073355501,99.0
PULL,0.8025818756894962,100.0
DRY,0.8026987034293745,101.0
SAND,0.8027172634159307,102.0
CLAW,0.802850237633461,103.0
SMOKE (EXHAUST),0.8028790865740236,104.0
HAIR,0.8033062569168379,105.0
ARROW,0.8034359465216252,106.0
WIND,0.8035268344952295,107.0
EARTH (SOIL),0.804075650964153,108.0
GRASS,0.8041802752271837,109.0
EGG,0.8046000901572539,110.0
SAY,0.8046198252061518,111.0
RIVER,0.8046403340157909,112.0
TIE,0.8046814307956874,113.0
KILL,0.8051114187390428,114.0
STAND,0.8053216051889962,115.0
HEART,0.8056807384897244,116.0
ROOT,0.8058384497065102,117.0
MOON,0.8058718268824179,118.0
SIT,0.807187477726115,119.0
BLACK,0.8073519025070818,120.0
FINGER,0.8077591284001636,121.0
SLEEP,0.8079251753226651,122.0
LONG,0.8079737610284703,123.0
GOOD,0.8081067334486032,124.0
COLD,0.8102806358666761,125.0
DO,inf,126.0
DEATH,inf,126.0
DRIVE (CATTLE),inf,126.0
NET,inf,126.0
NEST,inf,126.0
NEEDLE (FOR SEWING),inf,126.0
MAKE,inf,126.0
MELT,inf,126.0
MIDDLE,inf,126.0
MILK,inf,126.0
MONTH,inf,126.0
MEASURE,inf,126.0
LAY (VERB),inf,126.0
LIFE,inf,126.0
LANGUAGE,inf,126.0
LEATHER,inf,126.0
LICK,inf,126.0
HOME,inf,126.0
ICE,inf,126.0
HALF,inf,126.0
GROW,inf,126.0
GRAIN,inf,126.0
HE,inf,126.0
FOOTPRINT,inf,126.0
FOAM,inf,126.0
FRINGE,inf,126.0
GET,inf,126.0
HAY,inf,126.0
HONEY,inf,126.0
DRAW MILK,inf,126.0
DREAM,inf,126.0
DOOR,inf,126.0
DRY UP,inf,126.0
END (OF SPACE),inf,126.0
FINGERNAIL OR TOENAIL,inf,126.0
CUT,inf,126.0
COW,inf,126.0
COVER,inf,126.0
DRIVE,inf,126.0
BURNING,inf,126.0
BUTTER,inf,126.0
CARRY,inf,126.0
BRIDGE,inf,126.0
BRING,inf,126.0
BITTER,inf,126.0
BARKING,inf,126.0
BE ABLE,inf,126.0
BECOME,inf,126.0
BOIL (OF LIQUID),inf,126.0
BOIL (SOMETHING),inf,126.0
CATCH,inf,126.0
DAUGHTER,inf,126.0
DENSE,inf,126.0
DIVIDE,inf,126.0
SIT DOWN,inf,126.0
RAW,inf,126.0
SIDE,inf,126.0
SELL,inf,126.0
READ,inf,126.0
OR,inf,126.0
OIL (ORGANIC SUBSTANCE),inf,126.0
