Concept,Holman ranking value,Pagel mean rate,Peust ranking,Rama & Borin score,Tadmor score (replica),WOLD age score,WOLD borrowed score,WOLD simplicity score,inf,Petroni & Serva,Tadmor score,mean_disagreement
hornanatomy,38.0,,53.0,53.0,13.0,18.0,30.0,53.0,20.0,,31.0,34.33
see,29.0,4.0,4.0,29.0,2.0,26.0,26.0,28.0,23.0,8.0,4.0,16.64
bealive,,37.0,13.0,,50.0,33.0,14.0,55.0,10.0,29.0,,30.12
what,16.0,51.0,29.0,29.0,33.0,48.0,54.0,9.0,55.0,,28.0,35.2
chest,,,,,39.0,49.0,30.0,15.0,38.0,,,34.2
fish,56.0,33.0,31.0,50.0,14.0,16.0,16.0,56.0,22.0,11.0,36.0,31.0
wash,,13.0,1.0,,16.0,30.0,16.0,34.0,12.0,,,17.43
sky,,4.0,18.0,,44.0,63.0,47.0,20.0,37.0,22.0,,31.88
there,,9.0,,,26.0,38.0,65.0,52.0,1.0,27.0,,31.14
one,45.0,62.0,62.0,55.0,34.0,24.0,5.0,40.0,58.0,52.0,45.0,43.82
head,28.0,13.0,36.0,22.0,22.0,10.0,31.0,38.0,53.0,,,28.11
stone,60.0,2.0,57.0,47.0,52.0,54.0,12.0,31.0,5.0,41.0,51.0,37.45
nose,47.0,39.0,38.0,44.0,69.0,52.0,66.0,60.0,22.0,67.0,71.0,52.27
sun,38.0,51.0,39.0,68.0,11.0,54.0,5.0,35.0,1.0,57.0,,35.9
give,36.0,60.0,60.0,68.0,33.0,47.0,33.0,12.0,70.0,55.0,36.0,46.36
new,42.0,65.0,61.0,31.0,25.0,11.0,41.0,3.0,29.0,71.0,37.0,37.82
mountain,48.0,4.0,13.0,57.0,23.0,55.0,20.0,49.0,19.0,34.0,,32.2
flymovethroughair,41.0,1.0,19.0,21.0,4.0,13.0,2.0,4.0,24.0,,,14.33
daynotnight,,54.0,44.0,,13.0,52.0,1.0,6.0,66.0,66.0,,37.75
hear,72.0,21.0,45.0,25.0,15.0,36.0,59.0,16.0,30.0,,34.0,35.3
mouth,35.0,6.0,31.0,41.0,74.0,56.0,48.0,70.0,56.0,49.0,76.0,49.27
laugh,,45.0,67.0,,29.0,20.0,55.0,2.0,34.0,,36.0,36.0
lake,,2.0,,,26.0,10.0,22.0,15.0,7.0,,,13.67
bow,,,,,5.0,15.0,5.0,1.0,13.0,,,7.8
hold,,11.0,,,5.0,1.0,30.0,18.0,13.0,,,13.0
flow,,2.0,,,11.0,3.0,67.0,27.0,11.0,,,20.17
full,60.0,,79.0,40.0,14.0,39.0,25.0,17.0,31.0,,,38.12
open,,,22.0,,10.0,13.0,29.0,24.0,25.0,,,20.5
foot,44.0,57.0,23.0,55.0,34.0,19.0,8.0,55.0,19.0,37.0,62.0,37.55
ash,40.0,23.0,40.0,42.0,16.0,37.0,6.0,19.0,16.0,,35.0,27.4
belly,22.0,4.0,9.0,47.0,41.0,60.0,3.0,65.0,5.0,,,28.44
feather,51.0,33.0,10.0,53.0,13.0,25.0,26.0,14.0,17.0,73.0,,31.5
white,51.0,37.0,27.0,33.0,3.0,10.0,3.0,19.0,10.0,,,21.44
fall,,15.0,3.0,,51.0,19.0,70.0,5.0,6.0,34.0,42.0,27.22
take,,,,,34.0,53.0,39.0,5.0,79.0,,46.0,42.67
knife,,,,,23.0,17.0,23.0,40.0,0.0,,,20.6
night,79.0,82.0,69.0,36.0,80.0,82.0,67.0,37.0,60.0,89.0,79.0,69.09
knowsomething,30.0,45.0,32.0,32.0,61.0,44.0,69.0,12.0,20.0,51.0,56.0,41.09
blood,77.0,44.0,71.0,73.0,94.0,83.0,50.0,98.0,82.0,,91.0,76.3
pull,,3.0,,,30.0,15.0,22.0,42.0,9.0,50.0,,24.43
dry,47.0,54.0,66.0,38.0,5.0,9.0,61.0,13.0,3.0,72.0,,36.8
sand,37.0,8.0,12.0,37.0,58.0,57.0,50.0,39.0,8.0,58.0,58.0,38.36
claw,,,88.0,,19.0,6.0,33.0,26.0,8.0,,,30.0
smokeexhaust,48.0,64.0,38.0,63.0,48.0,0.0,65.0,42.0,51.0,76.0,69.0,51.27
hair,50.0,16.0,15.0,59.0,81.0,70.0,79.0,29.0,43.0,69.0,81.0,53.82
arrow,,,,,5.0,7.0,6.0,25.0,22.0,,,13.0
wind,,62.0,41.0,,74.0,101.0,13.0,99.0,47.0,77.0,73.0,65.22
earthsoil,,,,,,,,,,,,
grass,,39.0,43.0,,41.0,36.0,13.0,86.0,16.0,95.0,,46.12
egg,58.0,74.0,75.0,56.0,92.0,99.0,65.0,58.0,4.0,,73.0,65.4
say,47.0,21.0,29.0,58.0,86.0,12.0,103.0,47.0,78.0,,88.0,56.9
river,,21.0,15.0,,12.0,95.0,4.0,40.0,58.0,,,35.0
tie,,44.0,47.0,,66.0,66.0,41.0,63.0,18.0,73.0,56.0,52.67
kill,93.0,29.0,32.0,56.0,22.0,38.0,82.0,1.0,15.0,53.0,,42.1
stand,55.0,63.0,65.0,56.0,69.0,12.0,110.0,16.0,7.0,93.0,82.0,57.09
heart,76.0,77.0,88.0,74.0,11.0,8.0,9.0,77.0,24.0,67.0,,51.1
root,68.0,75.0,67.0,55.0,107.0,55.0,92.0,93.0,10.0,82.0,107.0,73.73
moon,80.0,,90.0,80.0,10.0,99.0,1.0,78.0,55.0,,,61.62
sit,52.0,90.0,91.0,50.0,52.0,35.0,76.0,22.0,1.0,98.0,,56.7
black,75.0,70.0,54.0,52.0,86.0,60.0,98.0,29.0,5.0,63.0,88.0,61.82
finger,,,86.0,,24.0,11.0,98.0,4.0,13.0,,,39.33
sleep,75.0,71.0,72.0,66.0,41.0,42.0,68.0,15.0,33.0,66.0,,54.9
long,64.0,95.0,73.0,59.0,101.0,97.0,103.0,31.0,41.0,99.0,72.0,75.91
good,63.0,43.0,34.0,72.0,83.0,68.0,60.0,73.0,68.0,,83.0,64.7
cold,63.0,38.0,59.0,58.0,53.0,70.0,72.0,20.0,8.0,,,49.0
