Concept,Holman ranking value,Pagel mean rate,Peust ranking,Rama & Borin score,Tadmor score (replica),WOLD age score,WOLD borrowed score,WOLD simplicity score,inf,Petroni & Serva,Tadmor score,mean_disagreement
i,4.0,0.0,3.0,0.0,8.0,43.0,10.0,56.0,3.0,,12.0,13.9
mother,,59.0,48.0,,84.0,49.0,99.0,47.0,20.0,1.0,,50.88
father,,54.0,32.0,,103.0,75.0,108.0,32.0,25.0,24.0,,56.62
and,,79.0,,,65.0,60.0,95.0,0.0,3.0,,,50.33
thou,9.0,7.0,1.0,12.0,24.0,93.0,13.0,56.0,3.0,,5.0,22.3
horse,,,,,116.0,62.0,116.0,1.0,63.0,,,71.6
five,,6.0,6.0,,94.0,59.0,102.0,39.0,48.0,18.0,,46.5
drink,24.0,26.0,42.0,4.0,37.0,53.0,40.0,51.0,15.0,45.0,24.0,32.82
arm,,,,,30.0,54.0,38.0,44.0,37.0,,,40.6
not,47.0,7.0,56.0,26.0,8.0,8.0,5.0,11.0,4.0,6.0,31.0,19.0
this,47.0,43.0,39.0,1.0,16.0,84.0,10.0,82.0,4.0,,19.0,34.5
eye,6.0,10.0,16.0,9.0,37.0,40.0,38.0,63.0,7.0,,41.0,26.7
three,,12.0,9.0,,63.0,10.0,93.0,1.0,17.0,11.0,,27.0
die,10.0,3.0,6.0,9.0,102.0,97.0,89.0,80.0,76.0,2.0,,47.4
meat,48.0,23.0,67.0,36.0,17.0,23.0,58.0,10.0,44.0,8.0,1.0,30.45
ten,,,8.0,,98.0,41.0,100.0,32.0,8.0,,,47.83
tongue,1.0,7.0,9.0,26.0,1.0,24.0,11.0,27.0,68.0,21.0,11.0,18.73
two,17.0,17.0,17.0,9.0,70.0,11.0,92.0,2.0,3.0,9.0,,24.7
branch,,,,,44.0,21.0,74.0,23.0,30.0,,,38.4
seven,,,5.0,,90.0,17.0,98.0,5.0,90.0,,,50.83
iron,,,,,96.0,97.0,93.0,12.0,98.0,,,79.2
six,,,18.0,,81.0,55.0,91.0,4.0,35.0,,,47.33
son,,,12.0,,54.0,16.0,45.0,87.0,20.0,,,39.0
wing,,44.0,42.0,,4.0,9.0,45.0,8.0,76.0,35.0,9.0,30.22
come,3.0,24.0,25.0,14.0,17.0,8.0,13.0,29.0,14.0,,14.0,16.1
name,15.0,17.0,11.0,13.0,7.0,4.0,15.0,17.0,5.0,16.0,12.0,12.0
you,,3.0,12.0,,80.0,95.0,10.0,92.0,1.0,26.0,,39.88
hand,21.0,11.0,20.0,9.0,12.0,22.0,57.0,25.0,7.0,2.0,11.0,17.91
pathorroad,,,,,,,,,,,,
year,,45.0,2.0,,29.0,6.0,68.0,3.0,3.0,9.0,,20.62
we,0.0,25.0,16.0,4.0,17.0,21.0,28.0,71.0,16.0,20.0,,21.8
louse,,,,,,,,,,,,
leg,,59.0,,,10.0,26.0,50.0,21.0,4.0,,,28.33
here,,48.0,,,68.0,81.0,28.0,88.0,30.0,,,57.17
eat,16.0,9.0,20.0,21.0,14.0,22.0,1.0,30.0,3.0,,15.0,15.1
dog,0.0,10.0,54.0,14.0,22.0,0.0,56.0,2.0,4.0,,19.0,18.1
sea,,28.0,63.0,,84.0,34.0,84.0,41.0,43.0,22.0,,49.88
four,,31.0,37.0,,56.0,28.0,66.0,2.0,74.0,31.0,,40.62
hundred,,,24.0,,81.0,66.0,81.0,40.0,3.0,,,49.17
dig,,53.0,10.0,,47.0,66.0,25.0,58.0,34.0,7.0,,37.5
they,,32.0,,,74.0,76.0,10.0,79.0,1.0,,,45.33
water,40.0,22.0,27.0,30.0,36.0,33.0,4.0,36.0,32.0,5.0,38.0,27.55
salt,,19.0,7.0,,21.0,57.0,43.0,24.0,5.0,31.0,16.0,24.78
tree,35.0,43.0,38.0,42.0,74.0,77.0,68.0,1.0,1.0,,,42.11
who,8.0,44.0,30.0,27.0,19.0,45.0,32.0,22.0,37.0,13.0,19.0,26.91
rainprecipitation,26.0,16.0,4.0,23.0,34.0,38.0,8.0,1.0,41.0,,34.0,22.5
sew,,6.0,35.0,,24.0,25.0,14.0,48.0,19.0,6.0,,22.12
go,,,42.0,,45.0,44.0,32.0,26.0,34.0,,45.0,38.29
ear,46.0,28.0,14.0,28.0,14.0,25.0,9.0,12.0,8.0,,30.0,21.4
fire,20.0,8.0,15.0,26.0,49.0,49.0,36.0,48.0,30.0,,49.0,33.0
where,,37.0,,,40.0,69.0,49.0,65.0,1.0,,,43.5
leaf,33.0,11.0,30.0,15.0,39.0,40.0,5.0,35.0,46.0,7.0,5.0,24.18
cry,,,,,9.0,5.0,21.0,17.0,24.0,,3.0,13.17
knee,30.0,,12.0,23.0,3.0,40.0,10.0,15.0,67.0,,10.0,23.33
skin,37.0,15.0,11.0,27.0,17.0,41.0,12.0,11.0,10.0,,7.0,18.8
house,,,34.0,,26.0,3.0,7.0,25.0,22.0,,36.0,21.86
that,9.0,9.0,25.0,27.0,21.0,62.0,48.0,51.0,54.0,,,34.0
bone,42.0,27.0,8.0,26.0,43.0,24.0,21.0,29.0,3.0,10.0,50.0,25.73
buy,,,,,40.0,10.0,28.0,52.0,42.0,,,34.4
tooth,47.0,33.0,25.0,10.0,49.0,57.0,11.0,40.0,28.0,49.0,37.0,35.09
