Ranking,Common concepts,Spearman r,p-value
Holman ranking value,69,-0.5283,3.0721e-06
Pagel mean rate,97,0.3607,0.0002846601
Peust ranking,101,0.3646,0.0001777958
Rama & Borin score,69,0.7601,0.0
Tadmor score (replica),122,0.0095,0.9169390617
WOLD age score,122,-0.0749,0.4119487946
WOLD borrowed score,122,-0.1384,0.1285336431
WOLD simplicity score,122,-0.2857,0.0014203328
inf,122,0.495,6.8e-09
Petroni & Serva,61,-0.2737,0.0327998856
Tadmor score,59,-0.2314,0.0778319837
