Concepticon_Gloss,Weight,Rank
FATHER,0.7329514862537938,1.0
MOTHER,0.750273921961206,2.0
AND,0.7549067043073036,3.0
I,0.7569405167495277,4.0
THREE,0.7677026278266823,5.0
HORSE,0.7695162452608172,6.0
FIVE,0.7712577816691132,7.0
BRANCH,0.772221635129226,8.0
ARM,0.7723286477376907,9.0
THOU,0.7735845749199052,10.0
DIE,0.7767109277289359,11.0
EYE,0.7773391778663284,12.0
MEAT,0.7793499917214779,13.0
SEVEN,0.7798107952232352,14.0
NOT,0.7799873936293901,15.0
THIS,0.7807457647792226,16.0
HERE,0.780944810373379,17.0
DRINK,0.7817297682546906,18.0
HUNDRED,0.7817971332148004,19.0
SEA,0.7830496489982613,20.0
HAND,0.7832387876229296,21.0
TEN,0.7840013098026273,22.0
PATH OR ROAD,0.7843511809758877,23.0
WING,0.7844102414449419,24.0
TONGUE,0.7847011304883029,25.0
LOUSE,0.7848638098028634,26.0
SALT,0.7853315715910163,27.0
TWO,0.7857019230518546,28.0
IRON,0.7866551666615572,29.0
SON,0.7868391838583811,30.0
DOG,0.7869507994071506,31.0
FOUR,0.7871455221763406,32.0
COME,0.7879695648652347,33.0
SKIN,0.7880010984953549,34.0
YEAR,0.7881389531913632,35.0
STONE,0.7883769827121547,36.0
TREE,0.7887459445154964,37.0
SIX,0.7887481160474367,38.0
WE,0.788787829613697,39.0
SEW,0.7888963171020944,40.0
NAME,0.7890354960427755,41.0
LEG,0.7891125463615918,42.0
EAT,0.7892458409005241,43.0
WHERE,0.7895198099272793,44.0
DIG,0.7897136898503133,45.0
LEAF,0.7897810825104721,46.0
EAR,0.789960950745854,47.0
KNEE,0.7900078568778325,48.0
WASH,0.7904436183730836,49.0
WATER,0.7907185507691483,50.0
SKY,0.790799866291483,51.0
BONE,0.7910127015431281,52.0
THERE,0.7913786893882637,53.0
BUY,0.7914543630441304,54.0
FISH,0.7915142319370019,55.0
LAUGH,0.7915662236490493,56.0
CRY,0.7916467848822731,57.0
GO,0.7916646707899722,58.0
YOU,0.7917112912046314,59.0
HORN (ANATOMY),0.7918842422029861,60.0
HOUSE,0.792208740720123,61.0
THEY,0.7927191632923731,62.0
MOUNTAIN,0.7927744882465901,63.0
OPEN,0.7929969582607378,64.0
PULL,0.7930998477131981,65.0
FIRE,0.7932240485029544,66.0
WHO,0.7932296149689676,67.0
BE ALIVE,0.7934704935579622,68.0
NEW,0.7936515394489227,69.0
SUN,0.7939005593082251,70.0
RAIN (PRECIPITATION),0.7940855316019139,71.0
ONE,0.7940931865740547,72.0
BOW,0.79420144522522,73.0
TOOTH,0.7942242000413074,74.0
HOLD,0.794415940341048,75.0
LAKE,0.7944662117851122,76.0
HEAR,0.7946030750285291,77.0
WHAT,0.7946072133081098,78.0
CHEST,0.7948513731816881,79.0
FALL,0.7950175392593404,80.0
KNIFE,0.7954888943249845,81.0
THAT,0.7957722983800035,82.0
BLOOD,0.7958753850822349,83.0
GIVE,0.795925248401065,84.0
SEE,0.796270599442464,85.0
DAY (NOT NIGHT),0.7962915846777459,86.0
HEAD,0.7963198500120681,87.0
MOUTH,0.7963857815859331,88.0
FEATHER,0.7964076556280001,89.0
FLOW,0.7964579679631241,90.0
FULL,0.7965984726122978,91.0
TAKE,0.7966729600613565,92.0
WIND,0.7968172457891037,93.0
GRASS,0.7969021021287356,94.0
KNOW (SOMETHING),0.7970929845840727,95.0
CLAW,0.7973154110625544,96.0
DRY,0.7973345409138387,97.0
FOOT,0.7973454346734912,98.0
SAND,0.7973798298666134,99.0
NIGHT,0.7974776669828589,100.0
TIE,0.7976452726713033,101.0
HAIR,0.7976607990758587,102.0
BELLY,0.7978016751796946,103.0
NOSE,0.7979219564306073,104.0
SMOKE (EXHAUST),0.7980930681897082,105.0
ASH,0.7983735768588167,106.0
FLY (MOVE THROUGH AIR),0.7984140863311531,107.0
WHITE,0.7987961970136568,108.0
EARTH (SOIL),0.7988447989996353,109.0
RIVER,0.7990022880854272,110.0
ARROW,0.7991970523473549,111.0
STAND,0.7997512504031441,112.0
HEART,0.8009040799262894,113.0
EGG,0.8012534985919157,114.0
SAY,0.8014127197056902,115.0
BLACK,0.8014891139332664,116.0
ROOT,0.8015252925520906,117.0
MOON,0.8015391315534942,118.0
KILL,0.8016787986600992,119.0
FINGER,0.8025001138316604,120.0
SIT,0.8025094817592376,121.0
GOOD,0.8038993389707003,122.0
LONG,0.8039110642764752,123.0
COLD,0.8051874592150345,124.0
SLEEP,0.8056457018763297,125.0
DO,inf,126.0
DEATH,inf,126.0
DRIVE (CATTLE),inf,126.0
NET,inf,126.0
NEST,inf,126.0
NEEDLE (FOR SEWING),inf,126.0
MAKE,inf,126.0
MELT,inf,126.0
MIDDLE,inf,126.0
MILK,inf,126.0
MONTH,inf,126.0
MEASURE,inf,126.0
LAY (VERB),inf,126.0
LIFE,inf,126.0
LANGUAGE,inf,126.0
LEATHER,inf,126.0
LICK,inf,126.0
HOME,inf,126.0
ICE,inf,126.0
HALF,inf,126.0
