Concept,Holman ranking value,Pagel mean rate,Peust ranking,Rama & Borin score,Tadmor score (replica),WOLD age score,WOLD borrowed score,WOLD simplicity score,inf,Petroni & Serva,Tadmor score,mean_disagreement
father,,56.0,34.0,,105.0,77.0,110.0,34.0,27.0,26.0,,58.62
mother,,59.0,48.0,,84.0,49.0,99.0,47.0,20.0,1.0,,50.88
and,,80.0,,,66.0,61.0,96.0,1.0,2.0,,,51.0
i,1.0,3.0,0.0,3.0,5.0,40.0,7.0,53.0,0.0,,9.0,12.1
three,,4.0,1.0,,71.0,18.0,101.0,9.0,25.0,3.0,,29.0
horse,,,,,116.0,62.0,116.0,1.0,63.0,,,71.6
five,,6.0,6.0,,94.0,59.0,102.0,39.0,48.0,18.0,,46.5
branch,,,,,55.0,32.0,85.0,34.0,41.0,,,49.4
arm,,,,,30.0,54.0,38.0,44.0,37.0,,,40.6
thou,4.0,2.0,6.0,7.0,19.0,88.0,8.0,51.0,8.0,,0.0,19.3
die,7.0,6.0,3.0,6.0,105.0,100.0,92.0,83.0,79.0,5.0,,48.6
eye,6.0,10.0,16.0,9.0,37.0,40.0,38.0,63.0,7.0,,41.0,26.7
meat,50.0,25.0,69.0,38.0,19.0,25.0,60.0,12.0,46.0,10.0,3.0,32.45
seven,,,1.0,,96.0,23.0,104.0,1.0,96.0,,,53.5
not,42.0,2.0,51.0,21.0,13.0,13.0,0.0,6.0,9.0,11.0,26.0,17.64
this,42.0,38.0,34.0,6.0,11.0,79.0,15.0,77.0,9.0,,14.0,32.5
here,,65.0,,,85.0,98.0,11.0,105.0,47.0,,,68.5
drink,14.0,16.0,32.0,14.0,27.0,43.0,30.0,41.0,5.0,35.0,14.0,24.64
hundred,,,4.0,,101.0,86.0,101.0,60.0,17.0,,,61.5
sea,,45.0,80.0,,101.0,51.0,101.0,58.0,60.0,5.0,,62.62
hand,14.0,4.0,13.0,2.0,19.0,29.0,64.0,18.0,14.0,5.0,4.0,16.91
ten,,,14.0,,92.0,35.0,94.0,26.0,2.0,,,43.83
pathorroad,,,,,,,,,,,,
wing,,44.0,42.0,,4.0,9.0,45.0,8.0,76.0,35.0,9.0,30.22
tongue,9.0,15.0,17.0,18.0,9.0,16.0,3.0,19.0,60.0,13.0,19.0,18.0
louse,,,,,,,,,,,,
salt,,3.0,23.0,,37.0,73.0,59.0,8.0,21.0,15.0,32.0,30.11
two,27.0,27.0,27.0,19.0,60.0,1.0,82.0,12.0,7.0,19.0,,28.1
iron,,,,,88.0,89.0,85.0,20.0,90.0,,,74.4
son,,,5.0,,47.0,9.0,38.0,80.0,13.0,,,32.0
dog,5.0,15.0,59.0,9.0,27.0,5.0,61.0,7.0,9.0,,24.0,22.1
four,,25.0,31.0,,62.0,34.0,72.0,4.0,80.0,25.0,,41.62
come,5.0,16.0,17.0,22.0,25.0,0.0,21.0,21.0,22.0,,22.0,17.1
skin,16.0,36.0,32.0,6.0,4.0,20.0,33.0,32.0,31.0,,14.0,22.4
year,,40.0,7.0,,24.0,11.0,63.0,8.0,8.0,4.0,,20.62
stone,24.0,34.0,21.0,11.0,16.0,18.0,24.0,5.0,31.0,5.0,15.0,18.55
tree,28.0,50.0,45.0,35.0,81.0,84.0,75.0,8.0,8.0,,,46.0
six,,,34.0,,65.0,39.0,75.0,20.0,19.0,,,42.0
we,8.0,33.0,24.0,12.0,25.0,29.0,36.0,63.0,24.0,12.0,,26.6
sew,,1.0,42.0,,31.0,32.0,21.0,55.0,26.0,1.0,,26.12
name,30.0,32.0,26.0,28.0,22.0,11.0,0.0,2.0,10.0,31.0,27.0,19.91
leg,,50.0,,,19.0,35.0,41.0,30.0,13.0,,,31.33
eat,8.0,1.0,28.0,29.0,22.0,30.0,9.0,22.0,5.0,,7.0,16.1
where,,30.0,,,47.0,76.0,42.0,72.0,8.0,,,45.83
