Concept,Holman ranking value,Pagel mean rate,Peust ranking,Rama & Borin score,Tadmor score (replica),WOLD age score,WOLD borrowed score,WOLD simplicity score,inf,Petroni & Serva,Tadmor score,mean_disagreement
dig,,48.0,5.0,,42.0,61.0,20.0,53.0,29.0,12.0,,33.75
leaf,27.0,17.0,36.0,9.0,33.0,34.0,11.0,29.0,52.0,1.0,1.0,22.73
ear,44.0,26.0,12.0,26.0,12.0,27.0,11.0,10.0,6.0,,28.0,20.2
knee,24.0,,18.0,17.0,9.0,46.0,4.0,21.0,73.0,,4.0,24.0
wash,,31.0,17.0,,34.0,48.0,2.0,52.0,30.0,,,30.57
water,48.0,30.0,35.0,38.0,44.0,41.0,4.0,44.0,40.0,13.0,46.0,34.82
sky,,13.0,1.0,,61.0,46.0,64.0,37.0,54.0,5.0,,35.12
bone,36.0,21.0,2.0,20.0,37.0,18.0,15.0,23.0,9.0,4.0,44.0,20.82
there,,25.0,,,42.0,54.0,49.0,68.0,15.0,11.0,,37.71
buy,,,,,45.0,5.0,33.0,57.0,47.0,,,37.4
fish,45.0,22.0,20.0,39.0,3.0,27.0,27.0,45.0,11.0,0.0,25.0,24.0
laugh,,19.0,41.0,,3.0,46.0,29.0,28.0,60.0,,10.0,29.5
cry,,,,,5.0,1.0,17.0,13.0,20.0,,1.0,9.5
go,,,32.0,,55.0,54.0,42.0,36.0,44.0,,55.0,45.43
you,,29.0,44.0,,48.0,63.0,42.0,60.0,33.0,58.0,,47.12
hornanatomy,37.0,,52.0,52.0,12.0,17.0,31.0,52.0,21.0,,30.0,33.78
house,,,29.0,,31.0,2.0,2.0,30.0,27.0,,41.0,23.14
they,,11.0,,,53.0,55.0,31.0,58.0,20.0,,,38.0
mountain,34.0,10.0,27.0,43.0,9.0,41.0,34.0,35.0,5.0,20.0,,25.8
open,,,2.0,,34.0,37.0,5.0,48.0,49.0,,,29.17
pull,,32.0,,,5.0,20.0,13.0,7.0,26.0,15.0,,16.86
fire,36.0,24.0,31.0,42.0,65.0,65.0,52.0,64.0,46.0,,65.0,49.0
who,14.0,66.0,52.0,49.0,41.0,23.0,54.0,0.0,59.0,9.0,41.0,37.09
bealive,,42.0,18.0,,45.0,28.0,9.0,50.0,5.0,34.0,,28.88
new,35.0,58.0,54.0,24.0,18.0,18.0,34.0,4.0,22.0,64.0,30.0,32.82
sun,34.0,47.0,35.0,64.0,15.0,50.0,9.0,39.0,5.0,53.0,,35.1
rainprecipitation,51.0,9.0,21.0,48.0,59.0,63.0,33.0,24.0,16.0,,59.0,38.3
one,47.0,64.0,64.0,57.0,36.0,26.0,3.0,42.0,60.0,54.0,47.0,45.45
bow,,,,,16.0,4.0,16.0,10.0,2.0,,,9.6
tooth,61.0,47.0,39.0,24.0,63.0,71.0,3.0,54.0,42.0,63.0,51.0,47.09
hold,,21.0,,,5.0,11.0,20.0,28.0,3.0,,,14.67
lake,,9.0,,,33.0,17.0,29.0,8.0,0.0,,,16.0
hear,69.0,18.0,42.0,22.0,12.0,39.0,56.0,19.0,27.0,,31.0,33.5
what,30.0,65.0,43.0,43.0,47.0,34.0,68.0,23.0,69.0,,42.0,46.4
chest,,,,,25.0,35.0,16.0,1.0,24.0,,,20.2
fall,,1.0,17.0,,37.0,5.0,56.0,9.0,8.0,20.0,28.0,20.11
knife,,,,,38.0,2.0,38.0,25.0,15.0,,,23.6
that,16.0,34.0,0.0,52.0,4.0,37.0,73.0,26.0,79.0,,,35.67
blood,61.0,28.0,55.0,57.0,78.0,67.0,34.0,82.0,66.0,,75.0,60.3
give,45.0,69.0,69.0,77.0,42.0,56.0,42.0,3.0,79.0,64.0,45.0,53.73
see,52.0,19.0,19.0,52.0,25.0,3.0,49.0,5.0,46.0,31.0,27.0,29.82
daynotnight,,61.0,51.0,,20.0,59.0,6.0,1.0,73.0,73.0,,43.0
head,44.0,29.0,52.0,38.0,6.0,6.0,15.0,54.0,69.0,,,34.78
mouth,42.0,13.0,38.0,48.0,81.0,63.0,55.0,77.0,63.0,56.0,83.0,56.27
feather,48.0,30.0,7.0,50.0,10.0,22.0,23.0,17.0,20.0,70.0,,29.7
flow,,6.0,,,15.0,1.0,71.0,23.0,7.0,,,20.5
full,64.0,,83.0,44.0,18.0,43.0,29.0,13.0,27.0,,,40.12
take,,,,,31.0,50.0,36.0,8.0,76.0,,43.0,40.67
wind,,48.0,27.0,,60.0,87.0,1.0,85.0,33.0,63.0,59.0,51.44
grass,,24.0,28.0,,26.0,21.0,2.0,71.0,1.0,80.0,,31.62
knowsomething,27.0,42.0,29.0,29.0,58.0,41.0,66.0,9.0,17.0,48.0,53.0,38.09
claw,,,81.0,,12.0,13.0,26.0,19.0,15.0,,,27.67
dry,43.0,50.0,62.0,34.0,1.0,5.0,57.0,17.0,7.0,68.0,,34.4
foot,53.0,66.0,32.0,64.0,43.0,28.0,17.0,64.0,28.0,46.0,71.0,46.55
sand,34.0,5.0,9.0,34.0,55.0,54.0,47.0,36.0,5.0,55.0,55.0,35.36
night,82.0,85.0,72.0,39.0,83.0,85.0,70.0,40.0,63.0,92.0,82.0,72.09
tie,,32.0,35.0,,54.0,54.0,29.0,51.0,6.0,61.0,44.0,40.67
hair,47.0,13.0,12.0,56.0,78.0,67.0,76.0,26.0,40.0,66.0,78.0,50.82
belly,34.0,8.0,3.0,59.0,53.0,72.0,15.0,77.0,17.0,,,37.56
nose,78.0,70.0,69.0,75.0,100.0,83.0,97.0,91.0,53.0,98.0,102.0,83.27
smokeexhaust,49.0,65.0,39.0,64.0,49.0,1.0,66.0,43.0,52.0,77.0,70.0,52.27
ash,56.0,39.0,56.0,58.0,32.0,53.0,22.0,35.0,0.0,,51.0,40.2
flymovethroughair,70.0,30.0,10.0,50.0,25.0,16.0,31.0,25.0,5.0,,,29.11
white,66.0,52.0,42.0,48.0,18.0,25.0,18.0,34.0,25.0,,,36.44
earthsoil,,,,,,,,,,,,
river,,19.0,13.0,,10.0,93.0,2.0,38.0,56.0,,,33.0
arrow,,,,,0.0,2.0,11.0,30.0,27.0,,,14.0
stand,52.0,60.0,62.0,53.0,66.0,9.0,107.0,13.0,10.0,90.0,79.0,54.64
heart,73.0,74.0,85.0,71.0,8.0,5.0,6.0,74.0,21.0,64.0,,48.1
egg,62.0,78.0,79.0,60.0,96.0,103.0,69.0,62.0,0.0,,77.0,68.6
say,51.0,25.0,33.0,62.0,90.0,16.0,107.0,51.0,82.0,,92.0,60.9
black,71.0,66.0,50.0,48.0,82.0,56.0,94.0,25.0,1.0,59.0,84.0,57.82
root,68.0,75.0,67.0,55.0,107.0,55.0,92.0,93.0,10.0,82.0,107.0,73.73
moon,80.0,,90.0,80.0,10.0,99.0,1.0,78.0,55.0,,,61.62
kill,98.0,34.0,37.0,61.0,27.0,43.0,87.0,4.0,20.0,58.0,,46.9
finger,,,85.0,,23.0,10.0,97.0,3.0,12.0,,,38.33
sit,54.0,92.0,93.0,52.0,54.0,37.0,78.0,24.0,1.0,100.0,,58.5
good,61.0,41.0,32.0,70.0,81.0,66.0,58.0,71.0,66.0,,81.0,62.7
long,64.0,95.0,73.0,59.0,101.0,97.0,103.0,31.0,41.0,99.0,72.0,75.91
cold,62.0,37.0,58.0,57.0,52.0,69.0,71.0,19.0,7.0,,,48.0
sleep,78.0,74.0,75.0,69.0,44.0,45.0,71.0,18.0,36.0,69.0,,57.9
