Concepticon_Gloss,Weight,Rank
FATHER,0.7509579935385144,1.0
MOTHER,0.7520533145322517,2.0
AND,0.7676939426178178,3.0
I,0.7682687455757322,4.0
HORSE,0.773148029044356,5.0
FIVE,0.7779880534113103,6.0
THREE,0.779386617164233,7.0
THOU,0.7820057303042158,8.0
EYE,0.7870338342912025,9.0
ARM,0.787121435009734,10.0
SEVEN,0.7890651077017942,11.0
BRANCH,0.7892022228930154,12.0
MEAT,0.7895347236381983,13.0
DIE,0.7900593098818376,14.0
WING,0.790394296505661,15.0
NOT,0.7904096522316995,16.0
THIS,0.7909838259008618,17.0
IRON,0.7915623950964515,18.0
DRINK,0.7923457640551423,19.0
YEAR,0.7927098263846288,20.0
TONGUE,0.7929080655903351,21.0
HERE,0.794549208850619,22.0
SON,0.7947092988761624,23.0
HUNDRED,0.7949236547460672,24.0
TEN,0.7950151014817753,25.0
SEA,0.7953042888782837,26.0
PATH OR ROAD,0.7955834693768762,27.0
LOUSE,0.795908042385685,28.0
FOUR,0.7967466854304331,29.0
TWO,0.7968279211284055,30.0
EAR,0.7974374006757857,31.0
SALT,0.7975092545202277,32.0
LEAF,0.7976228037995495,33.0
YOU,0.7978005600959748,34.0
HAND,0.7980236870334683,35.0
CRY,0.7982678134661557,36.0
COME,0.7985915874402338,37.0
WE,0.7988218877643951,38.0
SIX,0.7990783222037691,39.0
THEY,0.7991142231990039,40.0
TREE,0.7992817521643729,41.0
DIG,0.7993077116390225,42.0
LEG,0.799457736723522,43.0
NAME,0.7996143345993026,44.0
WHERE,0.8000530653517622,45.0
STONE,0.8003480622774772,46.0
THERE,0.8006788114324264,47.0
FIRE,0.8008846273523487,48.0
SEW,0.801015984096233,49.0
SKIN,0.8011200478638149,50.0
RAIN (PRECIPITATION),0.801189452993855,51.0
SKY,0.8012489841963254,52.0
DOG,0.8012562619058263,53.0
EAT,0.8014606962375723,54.0
BONE,0.8015731717150849,55.0
BE ALIVE,0.8021868654043944,56.0
HOUSE,0.8022094311527874,57.0
WATER,0.8022184486323584,58.0
GO,0.802429106154839,59.0
TOOTH,0.8026475674250996,60.0
BOW,0.802961701645536,61.0
BUY,0.8030486385063531,62.0
WHO,0.8032352856736158,63.0
LAUGH,0.8034272241875295,64.0
HORN (ANATOMY),0.8036062662836265,65.0
KNEE,0.8037481567176052,66.0
HEAD,0.8038306704889365,67.0
WASH,0.8039927102550453,68.0
MOUNTAIN,0.8042923084430803,69.0
NOSE,0.8043002608302392,70.0
DAY (NOT NIGHT),0.80436810953568,71.0
SUN,0.804463023918763,72.0
LAKE,0.8044694907390562,73.0
THAT,0.8050224797690655,74.0
HOLD,0.8051810643840056,75.0
FULL,0.8052460323085298,76.0
OPEN,0.8053468671518121,77.0
FLOW,0.805536668402639,78.0
FISH,0.8056182412753139,79.0
PULL,0.8057249914233268,80.0
NEW,0.8060561635253296,81.0
MOUTH,0.8062399885300169,82.0
HEAR,0.8063758066056158,83.0
ONE,0.8065302099758209,84.0
CHEST,0.8065358532443974,85.0
KNOW (SOMETHING),0.8066774532950294,86.0
TAKE,0.8070412986191392,87.0
WHAT,0.8071066706282107,88.0
KNIFE,0.80734888272234,89.0
FEATHER,0.8073729037068251,90.0
FALL,0.8074709654274568,91.0
WHITE,0.8075655449359332,92.0
CLAW,0.8076120372554407,93.0
ASH,0.8076960952061744,94.0
BLOOD,0.8078812185612048,95.0
FOOT,0.8079849439291219,96.0
FLY (MOVE THROUGH AIR),0.8082950423806978,97.0
SEE,0.8083711561370419,98.0
NIGHT,0.8084159441585206,99.0
SMOKE (EXHAUST),0.8084773158531546,100.0
WIND,0.8087925300522787,101.0
ARROW,0.8090946776699373,102.0
GRASS,0.8092080840578779,103.0
STAND,0.809219544802126,104.0
DRY,0.809336393485787,105.0
SAND,0.8095105714153541,106.0
EARTH (SOIL),0.8096166381947438,107.0
HAIR,0.8098234954871845,108.0
BELLY,0.8100393637068227,109.0
GIVE,0.8100409242855955,110.0
TIE,0.810061756208732,111.0
EGG,0.8108234663217544,112.0
RIVER,0.8112482453929388,113.0
HEART,0.811406554033554,114.0
BLACK,0.8121008254616859,115.0
MOON,0.812682378591071,116.0
ROOT,0.8128668452977604,117.0
LONG,0.8129900381721143,118.0
SIT,0.8137888693218364,119.0
FINGER,0.8140234570391993,120.0
SAY,0.8142000296041387,121.0
KILL,0.8143331308392869,122.0
SLEEP,0.8145661096483608,123.0
GOOD,0.8159254407213927,124.0
COLD,0.8162288299998293,125.0
DO,inf,126.0
DEATH,inf,126.0
DRIVE (CATTLE),inf,126.0
NET,inf,126.0
NEST,inf,126.0
NEEDLE (FOR SEWING),inf,126.0
MAKE,inf,126.0
MELT,inf,126.0
MIDDLE,inf,126.0
MILK,inf,126.0
MONTH,inf,126.0
MEASURE,inf,126.0
LAY (VERB),inf,126.0
LIFE,inf,126.0
LANGUAGE,inf,126.0
LEATHER,inf,126.0
LICK,inf,126.0
HOME,inf,126.0
ICE,inf,126.0
HALF,inf,126.0
GROW,inf,126.0
GRAIN,inf,126.0
HE,inf,126.0
FOOTPRINT,inf,126.0
FOAM,inf,126.0
FRINGE,inf,126.0
GET,inf,126.0
HAY,inf,126.0
HONEY,inf,126.0
DRAW MILK,inf,126.0
DREAM,inf,126.0
DOOR,inf,126.0
DRY UP,inf,126.0
END (OF SPACE),inf,126.0
FINGERNAIL OR TOENAIL,inf,126.0
CUT,inf,126.0
COW,inf,126.0
COVER,inf,126.0
DRIVE,inf,126.0
BURNING,inf,126.0
BUTTER,inf,126.0
CARRY,inf,126.0
BRIDGE,inf,126.0
BRING,inf,126.0
BITTER,inf,126.0
BARKING,inf,126.0
BE ABLE,inf,126.0
BECOME,inf,126.0
BOIL (OF LIQUID),inf,126.0
BOIL (SOMETHING),inf,126.0
CATCH,inf,126.0
DAUGHTER,inf,126.0
DENSE,inf,126.0
DIVIDE,inf,126.0
SIT DOWN,inf,126.0
RAW,inf,126.0
SIDE,inf,126.0
SELL,inf,126.0
READ,inf,126.0
OR,inf,126.0
OIL (ORGANIC SUBSTANCE),inf,126.0
OAR,inf,126.0
PAIN,inf,126.0
PAY,inf,126.0
PART,inf,126.0
PRICE,inf,126.0
PLACE (POSITION),inf,126.0
TIME,inf,126.0
TONE (MUSIC),inf,126.0
THING,inf,126.0
THREAD,inf,126.0
THAW (DEW),inf,126.0
SPOIL (BECOME SPOILED),inf,126.0
STRIKE (SOMETHING),inf,126.0
SUMMER,inf,126.0
SOUND OR NOISE,inf,126.0
SNOW,inf,126.0
SLEEP (STATE),inf,126.0
VOICE,inf,126.0
WOOD,inf,126.0
WOOL,inf,126.0
WAIT (FOR),inf,126.0
WINTER,inf,126.0
WRITE,inf,126.0
WORD,inf,126.0
