Concept,Holman ranking value,Pagel mean rate,Peust ranking,Rama & Borin score,Tadmor score (replica),WOLD age score,WOLD borrowed score,WOLD simplicity score,inf,Petroni & Serva,Tadmor score,mean_disagreement
stone,34.0,24.0,31.0,21.0,26.0,28.0,14.0,5.0,21.0,15.0,25.0,22.18
there,,31.0,,,48.0,60.0,43.0,74.0,21.0,5.0,,40.29
fire,18.0,6.0,13.0,24.0,47.0,47.0,34.0,46.0,28.0,,47.0,31.0
sew,,8.0,33.0,,22.0,23.0,12.0,46.0,17.0,8.0,,21.12
skin,32.0,20.0,16.0,22.0,12.0,36.0,17.0,16.0,15.0,,2.0,18.8
rainprecipitation,31.0,11.0,1.0,28.0,39.0,43.0,13.0,4.0,36.0,,39.0,24.5
sky,,12.0,2.0,,60.0,47.0,63.0,36.0,53.0,6.0,,34.88
dog,17.0,7.0,37.0,31.0,5.0,17.0,39.0,15.0,13.0,,2.0,18.3
eat,3.0,10.0,39.0,40.0,33.0,41.0,20.0,11.0,16.0,,4.0,21.7
bone,39.0,24.0,5.0,23.0,40.0,21.0,18.0,26.0,6.0,7.0,47.0,23.27
bealive,,30.0,6.0,,57.0,40.0,21.0,62.0,17.0,22.0,,31.88
house,,,33.0,,27.0,2.0,6.0,26.0,23.0,,37.0,22.0
water,56.0,38.0,43.0,46.0,52.0,49.0,12.0,52.0,48.0,21.0,54.0,42.82
go,,,31.0,,56.0,55.0,43.0,37.0,45.0,,56.0,46.14
tooth,47.0,33.0,25.0,10.0,49.0,57.0,11.0,40.0,28.0,49.0,37.0,35.09
bow,,,,,28.0,8.0,28.0,22.0,10.0,,,19.2
buy,,,,,37.0,13.0,25.0,49.0,39.0,,,32.6
who,10.0,62.0,48.0,45.0,37.0,27.0,50.0,4.0,55.0,5.0,37.0,34.55
laugh,,27.0,49.0,,11.0,38.0,37.0,20.0,52.0,,18.0,31.5
hornanatomy,42.0,,57.0,57.0,17.0,22.0,26.0,57.0,16.0,,35.0,36.56
knee,42.0,,0.0,35.0,9.0,28.0,22.0,3.0,55.0,,22.0,24.0
head,24.0,9.0,32.0,18.0,26.0,14.0,35.0,34.0,49.0,,,26.78
wash,,12.0,2.0,,15.0,29.0,17.0,33.0,11.0,,,17.0
mountain,40.0,4.0,21.0,49.0,15.0,47.0,28.0,41.0,11.0,26.0,,28.2
nose,44.0,36.0,35.0,41.0,66.0,49.0,63.0,57.0,19.0,64.0,68.0,49.27
daynotnight,,46.0,36.0,,5.0,44.0,9.0,14.0,58.0,58.0,,33.75
sun,36.0,49.0,37.0,66.0,13.0,52.0,7.0,37.0,3.0,55.0,,35.5
lake,,12.0,,,36.0,20.0,32.0,5.0,3.0,,,18.0
that,8.0,26.0,8.0,44.0,4.0,45.0,65.0,34.0,71.0,,,33.89
hold,,21.0,,,5.0,11.0,20.0,28.0,3.0,,,14.67
full,49.0,,68.0,29.0,3.0,28.0,14.0,28.0,42.0,,,32.62
open,,,11.0,,21.0,24.0,18.0,35.0,36.0,,,24.17
flow,,6.0,,,3.0,11.0,59.0,35.0,19.0,,,22.17
fish,69.0,46.0,44.0,63.0,27.0,3.0,3.0,69.0,35.0,24.0,49.0,39.27
pull,,17.0,,,10.0,5.0,2.0,22.0,11.0,30.0,,13.86
new,47.0,70.0,66.0,36.0,30.0,6.0,46.0,8.0,34.0,76.0,42.0,41.91
mouth,36.0,7.0,32.0,42.0,75.0,57.0,49.0,71.0,57.0,50.0,77.0,50.27
hear,75.0,24.0,48.0,28.0,18.0,33.0,62.0,13.0,33.0,,37.0,37.1
one,59.0,76.0,76.0,69.0,48.0,38.0,9.0,54.0,72.0,66.0,59.0,56.91
chest,,,,,19.0,29.0,10.0,5.0,18.0,,,16.2
knowsomething,18.0,33.0,20.0,20.0,49.0,32.0,57.0,0.0,8.0,39.0,44.0,29.09
take,,,,,26.0,45.0,31.0,13.0,71.0,,38.0,37.33
what,40.0,75.0,53.0,53.0,57.0,24.0,78.0,33.0,79.0,,52.0,54.4
knife,,,,,30.0,10.0,30.0,33.0,7.0,,,22.0
feather,49.0,31.0,8.0,51.0,11.0,23.0,24.0,16.0,19.0,71.0,,30.3
fall,,12.0,6.0,,48.0,16.0,67.0,2.0,3.0,31.0,39.0,24.89
white,50.0,36.0,26.0,32.0,2.0,9.0,2.0,18.0,9.0,,,20.44
claw,,,78.0,,9.0,16.0,23.0,16.0,18.0,,,26.67
ash,44.0,27.0,44.0,46.0,20.0,41.0,10.0,23.0,12.0,,39.0,30.6
blood,73.0,40.0,67.0,69.0,90.0,79.0,46.0,94.0,78.0,,87.0,72.3
foot,51.0,64.0,30.0,62.0,41.0,26.0,15.0,62.0,26.0,44.0,69.0,44.55
flymovethroughair,60.0,20.0,0.0,40.0,15.0,6.0,21.0,15.0,5.0,,,20.22
see,65.0,32.0,32.0,65.0,38.0,10.0,62.0,8.0,59.0,44.0,40.0,41.36
night,81.0,84.0,71.0,38.0,82.0,84.0,69.0,39.0,62.0,91.0,81.0,71.09
smokeexhaust,44.0,60.0,34.0,59.0,44.0,4.0,61.0,38.0,47.0,72.0,65.0,48.0
wind,,56.0,35.0,,68.0,95.0,7.0,93.0,41.0,71.0,67.0,59.22
arrow,,,,,9.0,11.0,2.0,21.0,18.0,,,12.2
grass,,33.0,37.0,,35.0,30.0,7.0,80.0,10.0,89.0,,40.12
stand,44.0,52.0,54.0,45.0,58.0,1.0,99.0,5.0,18.0,82.0,71.0,48.09
dry,51.0,58.0,70.0,42.0,9.0,13.0,65.0,9.0,1.0,76.0,,39.4
sand,41.0,12.0,16.0,41.0,62.0,61.0,54.0,43.0,12.0,62.0,62.0,42.36
earthsoil,,,,,,,,,,,,
hair,53.0,19.0,18.0,62.0,84.0,73.0,82.0,32.0,46.0,72.0,84.0,56.82
belly,40.0,14.0,9.0,65.0,59.0,78.0,21.0,83.0,23.0,,,43.56
give,71.0,95.0,95.0,103.0,68.0,82.0,68.0,23.0,105.0,90.0,71.0,79.18
tie,,42.0,45.0,,64.0,64.0,39.0,61.0,16.0,71.0,54.0,50.67
egg,60.0,76.0,77.0,58.0,94.0,101.0,67.0,60.0,2.0,,75.0,67.0
river,,22.0,16.0,,13.0,96.0,5.0,41.0,59.0,,,36.0
heart,74.0,75.0,86.0,72.0,9.0,6.0,7.0,75.0,22.0,65.0,,49.1
black,70.0,65.0,49.0,47.0,81.0,55.0,93.0,24.0,0.0,58.0,83.0,56.82
moon,78.0,,88.0,78.0,8.0,97.0,1.0,76.0,53.0,,,59.88
root,68.0,75.0,67.0,55.0,107.0,55.0,92.0,93.0,10.0,82.0,107.0,73.73
long,59.0,90.0,68.0,54.0,96.0,92.0,98.0,26.0,36.0,94.0,67.0,70.91
sit,52.0,90.0,91.0,50.0,52.0,35.0,76.0,22.0,1.0,98.0,,56.7
finger,,,85.0,,23.0,10.0,97.0,3.0,12.0,,,38.33
say,57.0,31.0,39.0,68.0,96.0,22.0,113.0,57.0,88.0,,98.0,66.9
kill,101.0,37.0,40.0,64.0,30.0,46.0,90.0,7.0,23.0,61.0,,49.9
sleep,76.0,72.0,73.0,67.0,42.0,43.0,69.0,16.0,34.0,67.0,,55.9
good,63.0,43.0,34.0,72.0,83.0,68.0,60.0,73.0,68.0,,83.0,64.7
cold,63.0,38.0,59.0,58.0,53.0,70.0,72.0,20.0,8.0,,,49.0
