Concept,Holman ranking value,Pagel mean rate,Peust ranking,Rama & Borin score,Tadmor score (replica),WOLD age score,WOLD borrowed score,WOLD simplicity score,inf,Petroni & Serva,Tadmor score,mean_disagreement
father,,56.0,34.0,,105.0,77.0,110.0,34.0,27.0,26.0,,58.62
mother,,59.0,48.0,,84.0,49.0,99.0,47.0,20.0,1.0,,50.88
and,,80.0,,,66.0,61.0,96.0,1.0,2.0,,,51.0
i,1.0,3.0,0.0,3.0,5.0,40.0,7.0,53.0,0.0,,9.0,12.1
horse,,,,,117.0,63.0,117.0,0.0,64.0,,,72.2
five,,5.0,5.0,,95.0,60.0,103.0,40.0,49.0,19.0,,47.0
three,,6.0,3.0,,69.0,16.0,99.0,7.0,23.0,5.0,,28.5
thou,6.0,4.0,4.0,9.0,21.0,90.0,10.0,53.0,6.0,,2.0,20.5
eye,3.0,13.0,19.0,6.0,40.0,43.0,41.0,66.0,10.0,,44.0,28.5
arm,,,,,29.0,53.0,37.0,43.0,36.0,,,39.6
seven,,,4.0,,99.0,26.0,107.0,4.0,99.0,,,56.5
branch,,,,,51.0,28.0,81.0,30.0,37.0,,,45.4
meat,50.0,25.0,69.0,38.0,19.0,25.0,60.0,12.0,46.0,10.0,3.0,32.45
die,10.0,3.0,6.0,9.0,102.0,97.0,89.0,80.0,76.0,2.0,,47.4
wing,,53.0,51.0,,13.0,18.0,54.0,17.0,85.0,44.0,0.0,37.22
not,41.0,1.0,50.0,20.0,14.0,14.0,1.0,5.0,10.0,12.0,25.0,17.55
this,41.0,37.0,33.0,7.0,10.0,78.0,16.0,76.0,10.0,,13.0,32.1
iron,,,,,99.0,100.0,96.0,9.0,101.0,,,81.0
drink,13.0,15.0,31.0,15.0,26.0,42.0,29.0,40.0,4.0,34.0,13.0,23.82
year,,55.0,8.0,,39.0,4.0,78.0,7.0,7.0,19.0,,27.12
tongue,5.0,11.0,13.0,22.0,5.0,20.0,7.0,23.0,64.0,17.0,15.0,18.36
here,,60.0,,,80.0,93.0,16.0,100.0,42.0,,,65.17
son,,,12.0,,54.0,16.0,45.0,87.0,20.0,,,39.0
hundred,,,9.0,,96.0,81.0,96.0,55.0,12.0,,,58.17
ten,,,17.0,,89.0,32.0,91.0,23.0,1.0,,,42.17
sea,,39.0,74.0,,95.0,45.0,95.0,52.0,54.0,11.0,,58.12
pathorroad,,,,,,,,,,,,
louse,,,,,,,,,,,,
four,,22.0,28.0,,65.0,37.0,75.0,7.0,83.0,22.0,,42.38
two,29.0,29.0,29.0,21.0,58.0,1.0,80.0,14.0,9.0,21.0,,29.1
ear,28.0,10.0,4.0,10.0,4.0,43.0,27.0,6.0,10.0,,12.0,15.4
salt,,8.0,18.0,,32.0,68.0,54.0,13.0,16.0,20.0,27.0,28.44
leaf,14.0,30.0,49.0,4.0,20.0,21.0,24.0,16.0,65.0,12.0,14.0,24.45
you,,4.0,19.0,,73.0,88.0,17.0,85.0,8.0,33.0,,40.88
hand,28.0,18.0,27.0,16.0,5.0,15.0,50.0,32.0,0.0,9.0,18.0,19.82
cry,,,,,26.0,22.0,38.0,34.0,41.0,,20.0,30.17
come,9.0,12.0,13.0,26.0,29.0,4.0,25.0,17.0,26.0,,26.0,18.7
we,7.0,32.0,23.0,11.0,24.0,28.0,35.0,64.0,23.0,13.0,,26.0
six,,,35.0,,64.0,38.0,74.0,21.0,18.0,,,41.67
they,,33.0,,,75.0,77.0,9.0,80.0,2.0,,,46.0
tree,32.0,46.0,41.0,39.0,77.0,80.0,71.0,4.0,4.0,,,43.78
dig,,51.0,8.0,,45.0,64.0,23.0,56.0,32.0,9.0,,36.0
leg,,49.0,,,20.0,36.0,40.0,31.0,14.0,,,31.67
name,33.0,35.0,29.0,31.0,25.0,14.0,3.0,1.0,13.0,34.0,30.0,22.55
where,,31.0,,,46.0,75.0,43.0,71.0,7.0,,,45.5
