Concept,Holman ranking value,Pagel mean rate,Peust ranking,Rama & Borin score,Tadmor score (replica),WOLD age score,WOLD borrowed score,WOLD simplicity score,inf,Petroni & Serva,Tadmor score,mean_disagreement
one,49.0,66.0,66.0,59.0,38.0,28.0,1.0,44.0,62.0,56.0,49.0,47.09
bealive,,49.0,25.0,,38.0,21.0,2.0,43.0,2.0,41.0,,27.62
sand,11.0,18.0,14.0,11.0,32.0,31.0,24.0,13.0,18.0,32.0,32.0,21.45
fish,67.0,44.0,42.0,61.0,25.0,5.0,5.0,67.0,33.0,22.0,47.0,38.0
smokeexhaust,22.0,38.0,12.0,37.0,22.0,26.0,39.0,16.0,25.0,50.0,43.0,30.0
hornanatomy,56.0,,71.0,71.0,31.0,36.0,12.0,71.0,2.0,,49.0,44.33
full,53.0,,72.0,33.0,7.0,32.0,18.0,24.0,38.0,,,34.62
open,,,15.0,,17.0,20.0,22.0,31.0,32.0,,,22.83
claw,,,67.0,,2.0,27.0,12.0,5.0,29.0,,,23.67
give,44.0,68.0,68.0,76.0,41.0,55.0,41.0,4.0,78.0,63.0,44.0,52.91
new,50.0,73.0,69.0,39.0,33.0,3.0,49.0,11.0,37.0,79.0,45.0,44.36
knowsomething,17.0,32.0,19.0,19.0,48.0,31.0,56.0,1.0,7.0,38.0,43.0,28.27
daynotnight,,61.0,51.0,,20.0,59.0,6.0,1.0,73.0,73.0,,43.0
mountain,58.0,14.0,3.0,67.0,33.0,65.0,10.0,59.0,29.0,44.0,,38.2
hair,33.0,1.0,2.0,42.0,64.0,53.0,62.0,12.0,26.0,52.0,64.0,37.36
ash,39.0,22.0,39.0,41.0,15.0,36.0,5.0,18.0,17.0,,34.0,26.6
see,57.0,24.0,24.0,57.0,30.0,2.0,54.0,0.0,51.0,36.0,32.0,33.36
white,49.0,35.0,25.0,31.0,1.0,8.0,1.0,17.0,8.0,,,19.44
earthsoil,,,,,,,,,,,,
knife,,,,,26.0,14.0,26.0,37.0,3.0,,,21.2
heart,54.0,55.0,66.0,52.0,11.0,14.0,13.0,55.0,2.0,45.0,,36.7
belly,26.0,0.0,5.0,51.0,45.0,64.0,7.0,69.0,9.0,,,30.67
blood,74.0,41.0,68.0,70.0,91.0,80.0,47.0,95.0,79.0,,88.0,73.3
hear,89.0,38.0,62.0,42.0,32.0,19.0,76.0,1.0,47.0,,51.0,45.7
mouth,52.0,23.0,48.0,58.0,91.0,73.0,65.0,87.0,73.0,66.0,93.0,66.27
grass,,29.0,33.0,,31.0,26.0,3.0,76.0,6.0,85.0,,36.12
foot,55.0,68.0,34.0,66.0,45.0,30.0,19.0,66.0,30.0,48.0,73.0,48.55
pull,,4.0,,,31.0,16.0,23.0,43.0,10.0,51.0,,25.43
laugh,,65.0,87.0,,49.0,0.0,75.0,18.0,14.0,,56.0,45.5
fall,,24.0,6.0,,60.0,28.0,79.0,14.0,15.0,43.0,51.0,35.56
take,,,,,43.0,62.0,48.0,4.0,88.0,,55.0,50.0
night,87.0,90.0,77.0,44.0,88.0,90.0,75.0,45.0,68.0,97.0,87.0,77.09
dry,52.0,59.0,71.0,43.0,10.0,14.0,66.0,8.0,2.0,77.0,,40.2
chest,,,,,3.0,7.0,12.0,27.0,4.0,,,10.6
egg,56.0,72.0,73.0,54.0,90.0,97.0,63.0,56.0,6.0,,71.0,63.8
stand,49.0,57.0,59.0,50.0,63.0,6.0,104.0,10.0,13.0,87.0,76.0,52.18
moon,72.0,,82.0,72.0,2.0,91.0,7.0,70.0,47.0,,,55.38
arrow,,,,,0.0,2.0,11.0,30.0,27.0,,,14.0
wind,,67.0,46.0,,79.0,106.0,18.0,104.0,52.0,82.0,78.0,70.22
hold,,17.0,,,33.0,27.0,58.0,10.0,41.0,,,31.0
tie,,45.0,48.0,,67.0,67.0,42.0,64.0,19.0,74.0,57.0,53.67
root,66.0,73.0,65.0,53.0,105.0,53.0,90.0,91.0,8.0,80.0,105.0,71.73
river,,25.0,19.0,,16.0,99.0,8.0,44.0,62.0,,,39.0
black,72.0,67.0,51.0,49.0,83.0,57.0,95.0,26.0,2.0,60.0,85.0,58.82
kill,97.0,33.0,36.0,60.0,26.0,42.0,86.0,3.0,19.0,57.0,,45.9
long,60.0,91.0,69.0,55.0,97.0,93.0,99.0,27.0,37.0,95.0,68.0,71.91
sit,53.0,91.0,92.0,51.0,53.0,36.0,77.0,23.0,0.0,99.0,,57.5
finger,,,86.0,,24.0,11.0,98.0,4.0,13.0,,,39.33
say,58.0,32.0,40.0,69.0,97.0,23.0,114.0,58.0,89.0,,99.0,67.9
sleep,76.0,72.0,73.0,67.0,42.0,43.0,69.0,16.0,34.0,67.0,,55.9
cold,62.0,37.0,58.0,57.0,52.0,69.0,71.0,19.0,7.0,,,48.0
good,64.0,44.0,35.0,73.0,84.0,69.0,61.0,74.0,69.0,,84.0,65.7
